"scientificName","decimalLatitude","decimalLongitude","eventDate"
"Ninox strenua",-33.8,151.27,"2017-03-01"
"Ninox strenua",-33.83,151.14,"2015-11-01"
"Ninox strenua",-30.59,153.01,"2019-04-01"
"Ninox strenua",-30.59,153.01,"2017-09-01"
"Ninox strenua",-33.66,150.93,"2018-10-01"
"Ninox strenua",-33.63,151.33,"2015-08-01"
"Ninox strenua",-33.6,151,"2013-06-01"
"Ninox strenua",-34.54,150.21,"2019-04-01"
"Ninox strenua",-34.05,151.14,"2015-03-01"
"Ninox strenua",-33.9,151.06,"2015-03-01"
"Ninox strenua",-35.95,148.28,"2018-12-01"
"Ninox strenua",-33.76,151.22,"2013-02-01"
"Ninox strenua",-33.76,150.99,"2013-08-01"
"Ninox strenua",-33.79,151.12,"2017-05-01"
"Ninox strenua",-33.84,151.12,"2018-01-01"
"Ninox strenua",-33.74,151.13,"2014-04-01"
"Ninox strenua",-35.01,150.82,"2014-10-01"
"Ninox strenua",-33.77,151.29,"2014-04-01"
"Ninox strenua",-30.3,153.11,"2013-09-01"
"Ninox strenua",-33.74,151.29,"2018-08-01"
"Ninox strenua",-33.65,151.28,"2016-10-01"
"Ninox strenua",-33.66,151.29,"2012-09-01"
"Ninox strenua",-33.76,151.22,"2013-03-01"
"Ninox strenua",-33.78,151.17,"2013-10-01"
"Ninox strenua",-33.85,150.96,"2012-06-01"
"Ninox strenua",-37.06,149.82,"2018-09-01"
"Ninox strenua",-35.09,150.61,"2017-11-01"
"Ninox strenua",-32.9,151.64,"2016-10-01"
"Ninox strenua",-35.14,150.7,"2013-04-01"
"Ninox strenua",-33.83,151.25,"2015-03-01"
"Ninox strenua",-33.83,151.18,"2011-08-01"
"Ninox strenua",-33.36,148.97,"2019-03-01"
"Ninox strenua",-33.8,150.89,"2018-04-01"
"Ninox strenua",-33.84,151.23,"2012-11-01"
"Ninox strenua",-33.76,151.17,"2018-10-01"
"Ninox strenua",-33.8,150.84,"2015-08-01"
"Ninox strenua",-33.8,151.15,"2016-01-01"
"Ninox strenua",-28.26,153.56,"2018-08-01"
"Ninox strenua",-30.44,152.9,"2012-03-01"
"Ninox strenua",-34.83,150.73,"2015-01-01"
"Ninox strenua",-31.74,152.71,"2011-12-01"
"Ninox strenua",-30.59,153.01,"2019-05-01"
"Ninox strenua",-33.76,151.14,"2018-12-01"
"Ninox strenua",-33.71,151.29,"2014-09-01"
"Ninox strenua",-29.26,153.11,"2018-05-01"
"Ninox strenua",-33.65,151.32,"2015-09-01"
"Ninox strenua",-33.04,151.57,"2015-12-01"
"Ninox strenua",-32.91,151.72,"2014-08-01"
"Ninox strenua",-33.46,151.42,"2017-01-01"
"Ninox strenua",-33.52,151.34,"2011-09-01"
"Ninox strenua",-33.76,151.21,"2015-07-01"
"Ninox strenua",-30.59,153.01,"2019-04-01"
"Ninox strenua",-34.17,150.59,"2018-12-01"
"Ninox strenua",-33.83,151.22,"2016-05-01"
"Ninox strenua",-33.75,151.03,"2016-02-01"
"Ninox strenua",-33.89,151.09,"2015-07-01"
"Ninox strenua",-29.61,153.18,"2018-09-01"
